parameter,value,is_nominal,scenario,n_runs,alarm_dropped_rate_mean,alarm_dropped_rate_ci_lower,alarm_dropped_rate_ci_upper,legitimate_alarm_dropped_rate_mean,legitimate_alarm_dropped_rate_ci_lower,legitimate_alarm_dropped_rate_ci_upper,legitimate_alarm_n,abnormal_alarm_dropped_rate_mean,alarm_avg_latency_mean,alarm_avg_latency_ci_lower,alarm_avg_latency_ci_upper,background_wait_mean_mean,background_wait_mean_ci_lower,background_wait_mean_ci_upper,activation_churn_mean,activation_churn_ci_lower,activation_churn_ci_upper,stable,expected_drop_floor
alarm_limit_budget,15.0,1,legit_extreme_emergency,20,0.0,nan,nan,0.0,nan,nan,30.0,0.0,0.14582684451509273,0.12365454172825588,0.16799914730192958,0.06994096244976758,0.059974209947449925,0.07990771495208523,0.0,nan,nan,1,
alarm_limit_budget,20.0,0,legit_extreme_emergency,20,0.0,nan,nan,0.0,nan,nan,30.0,0.0,0.14582684451509273,0.12365454172825588,0.16799914730192958,0.06994096244976758,0.059974209947449925,0.07990771495208523,0.0,nan,nan,1,
alarm_limit_budget,30.0,0,legit_extreme_emergency,20,0.0,nan,nan,0.0,nan,nan,30.0,0.0,0.14582684451509273,0.12365454172825588,0.16799914730192958,0.06994096244976758,0.059974209947449925,0.07990771495208523,0.0,nan,nan,1,
alarm_burst_capacity,5.0,0,alarm_flood_attack,20,0.8454545454545453,0.8454545454545453,0.8454545454545453,0.0,nan,nan,20.0,0.93,0.03066176959605424,0.025966164877357385,0.0353573743147511,0.0,nan,nan,2.0,nan,nan,1,0.7727272727272727
alarm_burst_capacity,10.0,0,alarm_flood_attack,20,0.8454545454545453,0.8454545454545453,0.8454545454545453,0.0,nan,nan,20.0,0.93,0.03066176959605424,0.025966164877357385,0.0353573743147511,0.0,nan,nan,2.0,nan,nan,1,0.5454545454545454
alarm_burst_capacity,15.0,0,alarm_flood_attack,20,0.8454545454545453,0.8454545454545453,0.8454545454545453,0.0,nan,nan,20.0,0.93,0.03066176959605424,0.025966164877357385,0.0353573743147511,0.0,nan,nan,2.0,nan,nan,1,0.31818181818181823
alarm_burst_capacity,20.0,0,alarm_flood_attack,20,0.8454545454545453,0.8454545454545453,0.8454545454545453,0.0,nan,nan,20.0,0.93,0.03066176959605424,0.025966164877357385,0.0353573743147511,0.0,nan,nan,2.0,nan,nan,1,0.31818181818181823
alarm_burst_capacity,30.0,1,alarm_flood_attack,20,0.8454545454545453,0.8454545454545453,0.8454545454545453,0.0,nan,nan,20.0,0.93,0.03066176959605424,0.025966164877357385,0.0353573743147511,0.0,nan,nan,2.0,nan,nan,1,0.31818181818181823
alarm_burst_capacity,50.0,0,alarm_flood_attack,20,0.8454545454545453,0.8454545454545453,0.8454545454545453,0.0,nan,nan,20.0,0.93,0.03066176959605424,0.025966164877357385,0.0353573743147511,0.0,nan,nan,2.0,nan,nan,1,0.31818181818181823
alarm_burst_capacity,80.0,0,alarm_flood_attack,20,0.8454545454545453,0.8454545454545453,0.8454545454545453,0.0,nan,nan,20.0,0.93,0.03066176959605424,0.025966164877357385,0.0353573743147511,0.0,nan,nan,2.0,nan,nan,1,0.31818181818181823
alarm_burst_capacity,5.0,0,alarm_malfunction_surge,20,0.682125,0.6805935672639358,0.6836564327360641,0.36249999999999993,0.31455782073798483,0.41044217926201504,20.0,0.6989473684210527,0.05308229080184913,0.03446790938180744,0.07169667222189083,0.0,nan,nan,9.0,nan,nan,0,0.75
alarm_burst_capacity,10.0,0,alarm_malfunction_surge,20,0.5285,0.5252923532562566,0.5317076467437434,0.027500000000000004,0.01334711988542476,0.04165288011457525,20.0,0.5548684210526316,0.04908776656969242,0.03546078855316529,0.06271474458621955,0.0,nan,nan,9.0,nan,nan,0,0.5
alarm_burst_capacity,15.0,0,alarm_malfunction_surge,20,0.5165,0.5130332665328508,0.5199667334671492,0.0,nan,nan,20.0,0.5436842105263159,0.051324026296377646,0.03808939415527778,0.06455865843747752,0.0,nan,nan,9.0,nan,nan,1,0.25
alarm_burst_capacity,20.0,0,alarm_malfunction_surge,20,0.5165,0.5130332665328508,0.5199667334671492,0.0,nan,nan,20.0,0.5436842105263159,0.051324026296377646,0.03808939415527778,0.06455865843747752,0.0,nan,nan,9.0,nan,nan,1,0.25
alarm_burst_capacity,30.0,1,alarm_malfunction_surge,20,0.5165,0.5130332665328508,0.5199667334671492,0.0,nan,nan,20.0,0.5436842105263159,0.051324026296377646,0.03808939415527778,0.06455865843747752,0.0,nan,nan,9.0,nan,nan,1,0.25
alarm_burst_capacity,50.0,0,alarm_malfunction_surge,20,0.5165,0.5130332665328508,0.5199667334671492,0.0,nan,nan,20.0,0.5436842105263159,0.051324026296377646,0.03808939415527778,0.06455865843747752,0.0,nan,nan,9.0,nan,nan,1,0.25
alarm_burst_capacity,80.0,0,alarm_malfunction_surge,20,0.5165,0.5130332665328508,0.5199667334671492,0.0,nan,nan,20.0,0.5436842105263159,0.051324026296377646,0.03808939415527778,0.06455865843747752,0.0,nan,nan,9.0,nan,nan,1,0.25
alarm_burst_capacity,5.0,0,legit_extreme_emergency,20,0.0,nan,nan,0.0,nan,nan,30.0,0.0,0.14582684451509273,0.12365454172825588,0.16799914730192958,0.06994096244976758,0.059974209947449925,0.07990771495208523,0.0,nan,nan,1,
alarm_burst_capacity,10.0,0,legit_extreme_emergency,20,0.0,nan,nan,0.0,nan,nan,30.0,0.0,0.14582684451509273,0.12365454172825588,0.16799914730192958,0.06994096244976758,0.059974209947449925,0.07990771495208523,0.0,nan,nan,1,
alarm_burst_capacity,15.0,0,legit_extreme_emergency,20,0.0,nan,nan,0.0,nan,nan,30.0,0.0,0.14582684451509273,0.12365454172825588,0.16799914730192958,0.06994096244976758,0.059974209947449925,0.07990771495208523,0.0,nan,nan,1,
alarm_burst_capacity,20.0,0,legit_extreme_emergency,20,0.0,nan,nan,0.0,nan,nan,30.0,0.0,0.14582684451509273,0.12365454172825588,0.16799914730192958,0.06994096244976758,0.059974209947449925,0.07990771495208523,0.0,nan,nan,1,
alarm_burst_capacity,30.0,1,legit_extreme_emergency,20,0.0,nan,nan,0.0,nan,nan,30.0,0.0,0.14582684451509273,0.12365454172825588,0.16799914730192958,0.06994096244976758,0.059974209947449925,0.07990771495208523,0.0,nan,nan,1,
alarm_burst_capacity,50.0,0,legit_extreme_emergency,20,0.0,nan,nan,0.0,nan,nan,30.0,0.0,0.14582684451509273,0.12365454172825588,0.16799914730192958,0.06994096244976758,0.059974209947449925,0.07990771495208523,0.0,nan,nan,1,
